Jurisdiction,P1,P2,P3,E1,E2,E3,R1,R2,R3,D1,D2,D3,P1_N,P2_N,P3_N,E1_N,E2_N,E3_N,R1_N,R2_N,R3_N,D1_N,D2_N,D3_N,BLI
Australia,5,2,1,2,2,1,2,2,2,2,1,0,1,1,1,1,1,0.5,1,1,0.67,1,0.5,0,0.81
Austria,5,1,1,1,1,1.5,2,2,3,1,0,1,1,0.5,1,0.5,0.5,0.75,1,1,1,0.5,0,1,0.73
Belgium,4,0,1,0,1,0.75,2,1,3,2,1,0,0.8,0,1,0,0.5,0.38,1,0.5,1,1,0.5,0,0.56
Canada,4,2,1,2,2,0.84,2,1,3,2,1,1,0.8,1,1,1,1,0.42,1,0.5,1,1,0.5,1,0.85
Finland,5,1,1,2,2,1.25,2,1,3,2,0,1,1,0.5,1,1,1,0.63,1,0.5,1,1,0,1,0.8
Germany,5,0,0,1,2,1,2,2,3,1,0,1,1,0,0,0.5,1,0.5,1,1,1,0.5,0,1,0.63
Hong Kong,5,1,1,1,1,0.75,1,1.5,2,2,0,1,1,0.5,1,0.5,0.5,0.38,0.5,0.75,0.67,1,0,1,0.65
Israel,4,2,1,1,2,1.25,1,2,2,2,0,1,0.8,1,1,0.5,1,0.63,0.5,1,0.67,1,0,1,0.76
Japan,4,0,1,2,2,1.25,2,0,2,1,0,1,0.8,0,1,1,1,0.63,1,0,0.67,0.5,0,1,0.63
Malaysia,3,1,1,0,2,0.75,1,1,3,3,1,0,0.6,0.5,1,0,1,0.38,0.5,0.5,1,1.5,0.5,0,0.62
Shenzhen,4,0,1,2,2,0.75,1,1,NA,1,1,1,0.8,0,1,1,1,0.38,0.5,0.5,NA,0.5,0.5,1,0.65
Singapore,2,1,1,1,2,1.25,1,1,2,1,0,0,0.4,0.5,1,0.5,1,0.63,0.5,0.5,0.67,0.5,0,0,0.52
United Kingdom,5,1,1,0,2,1.5,2,0,2,2,1,1,1,0.5,1,0,1,0.75,1,0,0.67,1,0.5,1,0.7
United States,4,2,0,2,2,0.84,2,2,3,1,0,1,0.8,1,0,1,1,0.42,1,1,1,0.5,0,1,0.73
Average,4.21,1,0.86,1.21,1.79,1.05,1.64,1.25,2.54,1.64,0.43,0.71,0.84,0.5,0.86,0.61,0.89,0.53,0.82,0.63,0.85,0.82,0.21,0.71,0.69
