jurisdiction,bli,gdp_growth,gfcf_growth,gii,recovery_rate,time,cost,wb_resolving_insolvency,continent,bli_category
Australia,0.81,2.1,2.9,48.3,82.7,1,8,78.9,Outside Asia,High
Austria,0.69,1.5,1.5,50.9,79.9,1.1,10,77.4,Outside Asia,High
Belgium,0.56,2.1,2.2,49.2,89.4,0.9,3.5,84.1,Outside Asia,Low
Canada,0.85,1.9,2.1,53.1,86.7,0.8,7,81,Outside Asia,High
Finland,0.76,1.2,1.4,58.4,88,0.9,3.5,92.7,Outside Asia,High
Germany,0.63,1,1.7,57.3,79.8,1.2,8,89.8,Outside Asia,Low
Hong Kong,0.59,-1.7,1.1,53.7,87.2,0.8,5,65.7,Asia,Low
Israel,0.76,3.8,4.5,53.4,62.6,2,23,72.7,Outside Asia,High
Japan,0.63,0.3,-0.02,54.5,92.1,0.6,4.2,90.2,Asia,Low
Malaysia,0.50,4.4,7.2,41.9,81,1,10,67,Asia,Low
Shenzhen,0.65,5.9,14.6,54.8,36.9,1.7,22,62.1,Shenzhen,Low
Singapore,0.52,1.3,4.6,57.8,88.7,0.8,4,74.3,Asia,Low
United Kingdom,0.66,1.7,1.2,59.8,85.4,1,6,80.3,Outside Asia,High
United States,0.73,2.2,2.1,61.3,81,1,10,90.5,Outside Asia,High
Average,0.7,1.98,3.36,53.89,80.1,1.06,8.87,79.05,,
